File name       Words  Modified            Referenced    Byte
DATDEL 3          490  1976-10-10 16:59:35(1976-10-10)  36
DATDEL NBIN       160  1976-10-10 17:00:42(1976-10-10)  36
LISTER 13        2133  1976-10-10 16:59:22(1976-10-13)  36
OBITUA 4          337  1976-08-23 15:33:17(1976-09-03)  36
TMAINT 12         492  1976-10-10 16:59:14(1976-10-10)  36
TRIVIA 210        943  1976-08-24 19:21:14(1976-10-12)  36
TS     TRIVIA     571  1976-08-26 02:34:48(1976-09-03)  36
TS     TVBIGL      70  1976-08-21 20:50:08(1976-08-21)  36
TS     TVDOWN      68  1976-09-23 20:22:23(1976-10-13)  36
TVBIGL 1           29  1976-08-21 20:49:39(1976-10-13)  36
TVCOPY 5          196  1976-10-10 17:03:18(1976-10-10)  36
TVDOWN 2           28  1976-09-23 20:21:46(1976-09-23)  36
TVINIT 6           59  1976-10-10 16:59:48(1976-10-13)  36
TVLOAD 3           55  1976-10-12 18:49:40(1976-10-13)  36
TVMAN  5          781  1976-10-10 17:00:22(1976-10-13)  36
TVWARN 1          944  1976-08-22 19:37:15(1976-10-13)  36
